エンティティ物理名,エンティティ論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"XM_BASE","マスタベース（新規作成用ベース)","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"ZM_BAIKA_SYOUSAI","売価詳細マスタ","","lpa02","2008/05/28 18:31:13","fsol14","2009/12/22 09:46:55"
"ZM_BAIKA_SYOUSAI_LOG","売価詳細マスタ_ログ","","lpa02","2008/07/15 15:49:07","lpa02","2008/12/09 16:39:34"
"ZM_BAIKA_SYOUSAI_PST","売価詳細マスタ_過去","","lpa02","2008/07/15 15:50:43","fsol14","2009/12/22 09:49:20"
"ZM_BAT_CALENDAR","バッチカレンダマスタ","","fsol10","2008/07/15 10:15:12","fsol09","2009/03/24 17:26:50"
"ZM_BAT_CONTROL","バッチコントロールマスタ","","fsol10","2008/07/15 10:25:11","fsol10","2009/01/22 18:30:38"
"ZM_BUSYO","部署マスタ","","fsol09","2008/06/17 16:23:41","fsol05","2009/06/12 16:30:11"
"ZM_BUSYO_FTR","部署マスタ_未来","","fsol10","2008/07/16 15:51:38","fsol10","2009/04/10 10:11:37"
"ZM_BUSYO_PST","部署マスタ_過去","","fsol10","2008/07/16 15:52:33","fsol10","2009/04/10 10:22:35"
"ZM_CALENDAR","カレンダマスタ","","fsol10","2008/07/15 10:04:32","fsol14","2009/12/10 16:13:21"
"ZM_DAIKOU","代行マスタ","","fsol10","2008/07/16 09:57:03","fsol10","2008/07/16 10:02:04"
"ZT_TORIHIKI_TEISI_LOG","取引停止_ログ","","lpa00","2008/07/11 16:36:15","fsol07","2011/02/23 19:06:17"
